"sex" "age" "period" "region" "cases" "pop" "outcome"
"1" 1 1 1 1 20 534845 "Incidence"
"2" 2 1 1 1 23 520849 "Incidence"
"3" 1 2 1 1 15 112303 "Incidence"
"4" 2 2 1 1 16 116399 "Incidence"
"5" 1 3 1 1 19 109323 "Incidence"
"6" 2 3 1 1 16 114217 "Incidence"
"7" 1 4 1 1 21 83561 "Incidence"
"8" 2 4 1 1 23 94425 "Incidence"
"9" 1 5 1 1 16 36217 "Incidence"
"10" 2 5 1 1 22 57586 "Incidence"
"11" 1 6 1 1 13 13048 "Incidence"
"12" 2 6 1 1 15 31059 "Incidence"
"13" 1 1 2 1 36 517275 "Incidence"
"14" 2 1 2 1 20 503240 "Incidence"
"15" 1 2 2 1 10 114984 "Incidence"
"16" 2 2 2 1 12 119026 "Incidence"
"17" 1 3 2 1 24 104530 "Incidence"
"18" 2 3 2 1 19 110965 "Incidence"
"19" 1 4 2 1 25 90143 "Incidence"
"20" 2 4 2 1 28 100521 "Incidence"
"21" 1 5 2 1 20 38613 "Incidence"
"22" 2 5 2 1 14 60162 "Incidence"
"23" 1 6 2 1 9 14062 "Incidence"
"24" 2 6 2 1 14 33923 "Incidence"
"25" 1 1 3 1 28 499701 "Incidence"
"26" 2 1 3 1 22 486473 "Incidence"
"27" 1 2 3 1 18 116704 "Incidence"
"28" 2 2 3 1 13 120989 "Incidence"
"29" 1 3 3 1 24 101600 "Incidence"
"30" 2 3 3 1 20 108472 "Incidence"
"31" 1 4 3 1 31 93849 "Incidence"
"32" 2 4 3 1 15 104618 "Incidence"
"33" 1 5 3 1 19 43529 "Incidence"
"34" 2 5 3 1 21 65339 "Incidence"
"35" 1 6 3 1 12 15240 "Incidence"
"36" 2 6 3 1 14 36931 "Incidence"
"37" 1 1 4 1 30 482127 "Incidence"
"38" 2 1 4 1 19 469706 "Incidence"
"39" 1 2 4 1 23 118424 "Incidence"
"40" 2 2 4 1 16 122952 "Incidence"
"41" 1 3 4 1 20 98670 "Incidence"
"42" 2 3 4 1 20 105979 "Incidence"
"43" 1 4 4 1 31 97555 "Incidence"
"44" 2 4 4 1 28 108715 "Incidence"
"45" 1 5 4 1 22 48445 "Incidence"
"46" 2 5 4 1 32 70516 "Incidence"
"47" 1 6 4 1 12 16418 "Incidence"
"48" 2 6 4 1 15 39939 "Incidence"
"49" 1 1 5 1 25 462801 "Incidence"
"50" 2 1 5 1 22 449618 "Incidence"
"51" 1 2 5 1 20 121136 "Incidence"
"52" 2 2 5 1 16 126224 "Incidence"
"53" 1 3 5 1 29 100816 "Incidence"
"54" 2 3 5 1 12 108126 "Incidence"
"55" 1 4 5 1 21 95041 "Incidence"
"56" 2 4 5 1 25 107005 "Incidence"
"57" 1 5 5 1 23 54598 "Incidence"
"58" 2 5 5 1 31 76874 "Incidence"
"59" 1 6 5 1 9 17745 "Incidence"
"60" 2 6 5 1 19 42653 "Incidence"
"61" 1 1 6 1 22 442933 "Incidence"
"62" 2 1 6 1 14 428418 "Incidence"
"63" 1 2 6 1 12 124184 "Incidence"
"64" 2 2 6 1 12 129926 "Incidence"
"65" 1 3 6 1 17 104644 "Incidence"
"66" 2 3 6 1 14 111824 "Incidence"
"67" 1 4 6 1 30 90457 "Incidence"
"68" 2 4 6 1 32 103359 "Incidence"
"69" 1 5 6 1 34 61160 "Incidence"
"70" 2 5 6 1 33 83622 "Incidence"
"71" 1 6 6 1 15 19115 "Incidence"
"72" 2 6 6 1 15 45273 "Incidence"
"73" 1 1 7 1 23 425109 "Incidence"
"74" 2 1 7 1 24 409666 "Incidence"
"75" 1 2 7 1 15 127520 "Incidence"
"76" 2 2 7 1 15 133635 "Incidence"
"77" 1 3 7 1 22 107951 "Incidence"
"78" 2 3 7 1 18 115144 "Incidence"
"79" 1 4 7 1 24 86760 "Incidence"
"80" 2 4 7 1 22 100299 "Incidence"
"81" 1 5 7 1 32 66767 "Incidence"
"82" 2 5 7 1 33 89593 "Incidence"
"83" 1 6 7 1 13 20977 "Incidence"
"84" 2 6 7 1 18 48572 "Incidence"
"85" 1 1 8 1 16 413579 "Incidence"
"86" 2 1 8 1 17 398258 "Incidence"
"87" 1 2 8 1 22 131724 "Incidence"
"88" 2 2 8 1 14 137337 "Incidence"
"89" 1 3 8 1 20 109675 "Incidence"
"90" 2 3 8 1 11 117342 "Incidence"
"91" 1 4 8 1 35 85734 "Incidence"
"92" 2 4 8 1 27 98988 "Incidence"
"93" 1 5 8 1 35 69491 "Incidence"
"94" 2 5 8 1 20 93222 "Incidence"
"95" 1 6 8 1 11 24300 "Incidence"
"96" 2 6 8 1 18 53926 "Incidence"
"97" 1 1 9 1 NA 402049 "Incidence"
"98" 2 1 9 1 NA 386850 "Incidence"
"99" 1 2 9 1 NA 135928 "Incidence"
"100" 2 2 9 1 NA 141039 "Incidence"
"101" 1 3 9 1 NA 111399 "Incidence"
"102" 2 3 9 1 NA 119540 "Incidence"
"103" 1 4 9 1 NA 84708 "Incidence"
"104" 2 4 9 1 NA 97677 "Incidence"
"105" 1 5 9 1 NA 72215 "Incidence"
"106" 2 5 9 1 NA 96851 "Incidence"
"107" 1 6 9 1 NA 27623 "Incidence"
"108" 2 6 9 1 NA 59280 "Incidence"
"109" 1 1 10 1 NA 394996 "Incidence"
"110" 2 1 10 1 NA 379424 "Incidence"
"111" 1 2 10 1 NA 137230 "Incidence"
"112" 2 2 10 1 NA 141607 "Incidence"
"113" 1 3 10 1 NA 113865 "Incidence"
"114" 2 3 10 1 NA 122602 "Incidence"
"115" 1 4 10 1 NA 86971 "Incidence"
"116" 2 4 10 1 NA 100078 "Incidence"
"117" 1 5 10 1 NA 71251 "Incidence"
"118" 2 5 10 1 NA 95874 "Incidence"
"119" 1 6 10 1 NA 30945 "Incidence"
"120" 2 6 10 1 NA 64290 "Incidence"
"121" 1 1 1 2 9 62637 "Incidence"
"122" 2 1 1 2 12 59668 "Incidence"
"123" 1 2 1 2 9 13605 "Incidence"
"124" 2 2 1 2 7 12777 "Incidence"
"125" 1 3 1 2 12 12739 "Incidence"
"126" 2 3 1 2 12 12065 "Incidence"
"127" 1 4 1 2 11 10907 "Incidence"
"128" 2 4 1 2 13 11866 "Incidence"
"129" 1 5 1 2 12 5989 "Incidence"
"130" 2 5 1 2 11 8229 "Incidence"
"131" 1 6 1 2 8 1998 "Incidence"
"132" 2 6 1 2 7 4370 "Incidence"
"133" 1 1 2 2 10 61578 "Incidence"
"134" 2 1 2 2 12 58882 "Incidence"
"135" 1 2 2 2 9 14274 "Incidence"
"136" 2 2 2 2 11 13431 "Incidence"
"137" 1 3 2 2 13 12252 "Incidence"
"138" 2 3 2 2 11 11767 "Incidence"
"139" 1 4 2 2 12 11523 "Incidence"
"140" 2 4 2 2 7 12245 "Incidence"
"141" 1 5 2 2 8 6321 "Incidence"
"142" 2 5 2 2 8 8601 "Incidence"
"143" 1 6 2 2 7 2163 "Incidence"
"144" 2 6 2 2 8 4760 "Incidence"
"145" 1 1 3 2 10 60622 "Incidence"
"146" 2 1 3 2 10 58352 "Incidence"
"147" 1 2 3 2 14 14981 "Incidence"
"148" 2 2 3 2 12 13996 "Incidence"
"149" 1 3 3 2 9 12192 "Incidence"
"150" 2 3 3 2 7 11678 "Incidence"
"151" 1 4 3 2 10 11938 "Incidence"
"152" 2 4 3 2 7 12389 "Incidence"
"153" 1 5 3 2 12 6755 "Incidence"
"154" 2 5 3 2 15 9181 "Incidence"
"155" 1 6 3 2 12 2360 "Incidence"
"156" 2 6 3 2 9 5128 "Incidence"
"157" 1 1 4 2 12 59666 "Incidence"
"158" 2 1 4 2 12 57822 "Incidence"
"159" 1 2 4 2 14 15688 "Incidence"
"160" 2 2 4 2 10 14561 "Incidence"
"161" 1 3 4 2 10 12132 "Incidence"
"162" 2 3 4 2 9 11589 "Incidence"
"163" 1 4 4 2 11 12353 "Incidence"
"164" 2 4 4 2 10 12533 "Incidence"
"165" 1 5 4 2 14 7189 "Incidence"
"166" 2 5 4 2 15 9761 "Incidence"
"167" 1 6 4 2 10 2557 "Incidence"
"168" 2 6 4 2 10 5496 "Incidence"
"169" 1 1 5 2 13 58833 "Incidence"
"170" 2 1 5 2 14 57043 "Incidence"
"171" 1 2 5 2 7 16698 "Incidence"
"172" 2 2 5 2 10 15488 "Incidence"
"173" 1 3 5 2 8 12929 "Incidence"
"174" 2 3 5 2 14 12285 "Incidence"
"175" 1 4 5 2 10 12159 "Incidence"
"176" 2 4 5 2 14 12290 "Incidence"
"177" 1 5 5 2 13 7789 "Incidence"
"178" 2 5 5 2 14 10254 "Incidence"
"179" 1 6 5 2 10 2796 "Incidence"
"180" 2 6 5 2 12 5941 "Incidence"
"181" 1 1 6 2 8 58083 "Incidence"
"182" 2 1 6 2 8 56193 "Incidence"
"183" 1 2 6 2 10 17798 "Incidence"
"184" 2 2 6 2 9 16526 "Incidence"
"185" 1 3 6 2 7 14025 "Incidence"
"186" 2 3 6 2 7 13233 "Incidence"
"187" 1 4 6 2 15 11751 "Incidence"
"188" 2 4 6 2 10 11914 "Incidence"
"189" 1 5 6 2 15 8439 "Incidence"
"190" 2 5 6 2 8 10732 "Incidence"
"191" 1 6 6 2 8 3044 "Incidence"
"192" 2 6 6 2 10 6389 "Incidence"
"193" 1 1 7 2 9 57532 "Incidence"
"194" 2 1 7 2 11 55522 "Incidence"
"195" 1 2 7 2 11 18828 "Incidence"
"196" 2 2 7 2 9 17580 "Incidence"
"197" 1 3 7 2 12 15016 "Incidence"
"198" 2 3 7 2 8 14119 "Incidence"
"199" 1 4 7 2 13 11456 "Incidence"
"200" 2 4 7 2 7 11639 "Incidence"
"201" 1 5 7 2 10 9049 "Incidence"
"202" 2 5 7 2 13 11143 "Incidence"
"203" 1 6 7 2 8 3329 "Incidence"
"204" 2 6 7 2 9 6894 "Incidence"
"205" 1 1 8 2 11 57712 "Incidence"
"206" 2 1 8 2 9 55438 "Incidence"
"207" 1 2 8 2 13 19607 "Incidence"
"208" 2 2 8 2 13 18666 "Incidence"
"209" 1 3 8 2 9 15736 "Incidence"
"210" 2 3 8 2 14 14802 "Incidence"
"211" 1 4 8 2 11 11476 "Incidence"
"212" 2 4 8 2 9 11646 "Incidence"
"213" 1 5 8 2 14 9511 "Incidence"
"214" 2 5 8 2 6 11386 "Incidence"
"215" 1 6 8 2 13 3687 "Incidence"
"216" 2 6 8 2 8 7494 "Incidence"
"217" 1 1 9 2 NA 57892 "Incidence"
"218" 2 1 9 2 NA 55354 "Incidence"
"219" 1 2 9 2 NA 20386 "Incidence"
"220" 2 2 9 2 NA 19752 "Incidence"
"221" 1 3 9 2 NA 16456 "Incidence"
"222" 2 3 9 2 NA 15485 "Incidence"
"223" 1 4 9 2 NA 11496 "Incidence"
"224" 2 4 9 2 NA 11653 "Incidence"
"225" 1 5 9 2 NA 9973 "Incidence"
"226" 2 5 9 2 NA 11629 "Incidence"
"227" 1 6 9 2 NA 4045 "Incidence"
"228" 2 6 9 2 NA 8094 "Incidence"
"229" 1 1 10 2 NA 58053 "Incidence"
"230" 2 1 10 2 NA 55396 "Incidence"
"231" 1 2 10 2 NA 20798 "Incidence"
"232" 2 2 10 2 NA 20177 "Incidence"
"233" 1 3 10 2 NA 17160 "Incidence"
"234" 2 3 10 2 NA 16130 "Incidence"
"235" 1 4 10 2 NA 12029 "Incidence"
"236" 2 4 10 2 NA 12253 "Incidence"
"237" 1 5 10 2 NA 9795 "Incidence"
"238" 2 5 10 2 NA 11450 "Incidence"
"239" 1 6 10 2 NA 4420 "Incidence"
"240" 2 6 10 2 NA 8582 "Incidence"
"241" 1 1 1 3 11 82810 "Incidence"
"242" 2 1 1 3 14 78847 "Incidence"
"243" 1 2 1 3 9 18148 "Incidence"
"244" 2 2 1 3 7 16758 "Incidence"
"245" 1 3 1 3 15 16795 "Incidence"
"246" 2 3 1 3 12 15682 "Incidence"
"247" 1 4 1 3 12 12802 "Incidence"
"248" 2 4 1 3 10 13320 "Incidence"
"249" 1 5 1 3 9 6210 "Incidence"
"250" 2 5 1 3 7 8645 "Incidence"
"251" 1 6 1 3 10 2158 "Incidence"
"252" 2 6 1 3 12 4536 "Incidence"
"253" 1 1 2 3 17 80155 "Incidence"
"254" 2 1 2 3 10 76574 "Incidence"
"255" 1 2 2 3 11 18724 "Incidence"
"256" 2 2 2 3 8 17298 "Incidence"
"257" 1 3 2 3 9 16312 "Incidence"
"258" 2 3 2 3 11 15357 "Incidence"
"259" 1 4 2 3 13 13659 "Incidence"
"260" 2 4 2 3 10 14010 "Incidence"
"261" 1 5 2 3 10 6575 "Incidence"
"262" 2 5 2 3 12 9017 "Incidence"
"263" 1 6 2 3 10 2375 "Incidence"
"264" 2 6 2 3 8 5010 "Incidence"
"265" 1 1 3 3 16 78092 "Incidence"
"266" 2 1 3 3 14 74678 "Incidence"
"267" 1 2 3 3 11 19126 "Incidence"
"268" 2 2 3 3 13 17797 "Incidence"
"269" 1 3 3 3 15 16091 "Incidence"
"270" 2 3 3 3 8 15209 "Incidence"
"271" 1 4 3 3 13 14300 "Incidence"
"272" 2 4 3 3 8 14489 "Incidence"
"273" 1 5 3 3 15 7288 "Incidence"
"274" 2 5 3 3 11 9729 "Incidence"
"275" 1 6 3 3 9 2542 "Incidence"
"276" 2 6 3 3 6 5424 "Incidence"
"277" 1 1 4 3 11 76029 "Incidence"
"278" 2 1 4 3 12 72782 "Incidence"
"279" 1 2 4 3 7 19528 "Incidence"
"280" 2 2 4 3 11 18296 "Incidence"
"281" 1 3 4 3 11 15870 "Incidence"
"282" 2 3 4 3 9 15061 "Incidence"
"283" 1 4 4 3 11 14941 "Incidence"
"284" 2 4 4 3 9 14968 "Incidence"
"285" 1 5 4 3 14 8001 "Incidence"
"286" 2 5 4 3 8 10441 "Incidence"
"287" 1 6 4 3 9 2709 "Incidence"
"288" 2 6 4 3 11 5838 "Incidence"
"289" 1 1 5 3 9 73919 "Incidence"
"290" 2 1 5 3 7 70651 "Incidence"
"291" 1 2 5 3 8 20081 "Incidence"
"292" 2 2 5 3 11 19026 "Incidence"
"293" 1 3 5 3 11 16427 "Incidence"
"294" 2 3 5 3 13 15557 "Incidence"
"295" 1 4 5 3 13 14795 "Incidence"
"296" 2 4 5 3 11 14790 "Incidence"
"297" 1 5 5 3 8 8784 "Incidence"
"298" 2 5 5 3 12 11229 "Incidence"
"299" 1 6 5 3 8 2976 "Incidence"
"300" 2 6 5 3 6 6288 "Incidence"
"301" 1 1 6 3 9 71771 "Incidence"
"302" 2 1 6 3 10 68467 "Incidence"
"303" 1 2 6 3 11 20691 "Incidence"
"304" 2 2 6 3 11 19852 "Incidence"
"305" 1 3 6 3 11 17239 "Incidence"
"306" 2 3 6 3 9 16285 "Incidence"
"307" 1 4 6 3 12 14381 "Incidence"
"308" 2 4 6 3 12 14390 "Incidence"
"309" 1 5 6 3 9 9570 "Incidence"
"310" 2 5 6 3 13 12047 "Incidence"
"311" 1 6 6 3 9 3276 "Incidence"
"312" 2 6 6 3 13 6760 "Incidence"
"313" 1 1 7 3 12 70099 "Incidence"
"314" 2 1 7 3 9 66717 "Incidence"
"315" 1 2 7 3 7 21403 "Incidence"
"316" 2 2 7 3 11 20718 "Incidence"
"317" 1 3 7 3 12 17994 "Incidence"
"318" 2 3 7 3 15 16972 "Incidence"
"319" 1 4 7 3 11 14058 "Incidence"
"320" 2 4 7 3 12 14106 "Incidence"
"321" 1 5 7 3 11 10312 "Incidence"
"322" 2 5 7 3 10 12764 "Incidence"
"323" 1 6 7 3 12 3616 "Incidence"
"324" 2 6 7 3 8 7292 "Incidence"
"325" 1 1 8 3 11 69802 "Incidence"
"326" 2 1 8 3 8 66353 "Incidence"
"327" 1 2 8 3 14 22419 "Incidence"
"328" 2 2 8 3 9 21777 "Incidence"
"329" 1 3 8 3 10 18541 "Incidence"
"330" 2 3 8 3 8 17561 "Incidence"
"331" 1 4 8 3 12 13982 "Incidence"
"332" 2 4 8 3 11 14143 "Incidence"
"333" 1 5 8 3 12 10850 "Incidence"
"334" 2 5 8 3 9 13187 "Incidence"
"335" 1 6 8 3 6 4071 "Incidence"
"336" 2 6 8 3 9 8007 "Incidence"
"337" 1 1 9 3 NA 69505 "Incidence"
"338" 2 1 9 3 NA 65989 "Incidence"
"339" 1 2 9 3 NA 23435 "Incidence"
"340" 2 2 9 3 NA 22836 "Incidence"
"341" 1 3 9 3 NA 19088 "Incidence"
"342" 2 3 9 3 NA 18150 "Incidence"
"343" 1 4 9 3 NA 13906 "Incidence"
"344" 2 4 9 3 NA 14180 "Incidence"
"345" 1 5 9 3 NA 11388 "Incidence"
"346" 2 5 9 3 NA 13610 "Incidence"
"347" 1 6 9 3 NA 4526 "Incidence"
"348" 2 6 9 3 NA 8722 "Incidence"
"349" 1 1 10 3 NA 69368 "Incidence"
"350" 2 1 10 3 NA 65838 "Incidence"
"351" 1 2 10 3 NA 24031 "Incidence"
"352" 2 2 10 3 NA 23309 "Incidence"
"353" 1 3 10 3 NA 19635 "Incidence"
"354" 2 3 10 3 NA 18897 "Incidence"
"355" 1 4 10 3 NA 14497 "Incidence"
"356" 2 4 10 3 NA 14728 "Incidence"
"357" 1 5 10 3 NA 11324 "Incidence"
"358" 2 5 10 3 NA 13498 "Incidence"
"359" 1 6 10 3 NA 4955 "Incidence"
"360" 2 6 10 3 NA 9359 "Incidence"
"361" 1 1 1 4 14 112658 "Incidence"
"362" 2 1 1 4 12 105807 "Incidence"
"363" 1 2 1 4 9 25340 "Incidence"
"364" 2 2 1 4 9 23173 "Incidence"
"365" 1 3 1 4 13 22502 "Incidence"
"366" 2 3 1 4 10 21756 "Incidence"
"367" 1 4 1 4 10 17819 "Incidence"
"368" 2 4 1 4 15 18880 "Incidence"
"369" 1 5 1 4 8 8607 "Incidence"
"370" 2 5 1 4 12 12526 "Incidence"
"371" 1 6 1 4 8 3029 "Incidence"
"372" 2 6 1 4 9 6201 "Incidence"
"373" 1 1 2 4 11 108908 "Incidence"
"374" 2 1 2 4 7 102483 "Incidence"
"375" 1 2 2 4 16 26401 "Incidence"
"376" 2 2 2 4 7 24066 "Incidence"
"377" 1 3 2 4 9 21810 "Incidence"
"378" 2 3 2 4 10 21002 "Incidence"
"379" 1 4 2 4 13 18881 "Incidence"
"380" 2 4 2 4 8 19828 "Incidence"
"381" 1 5 2 4 13 9072 "Incidence"
"382" 2 5 2 4 13 12972 "Incidence"
"383" 1 6 2 4 11 3376 "Incidence"
"384" 2 6 2 4 13 6897 "Incidence"
"385" 1 1 3 4 15 105203 "Incidence"
"386" 2 1 3 4 10 99075 "Incidence"
"387" 1 2 3 4 11 26744 "Incidence"
"388" 2 2 3 4 11 24433 "Incidence"
"389" 1 3 3 4 12 21621 "Incidence"
"390" 2 3 3 4 13 20668 "Incidence"
"391" 1 4 3 4 14 19441 "Incidence"
"392" 2 4 3 4 13 20464 "Incidence"
