"sex" "age" "period" "region" "cases" "pop" "outcome"
"1" 1 1 1 1 4 40572 "Incidence"
"2" 2 1 1 1 2 38183 "Incidence"
"3" 1 2 1 1 2 55198 "Incidence"
"4" 2 2 1 1 6 52418 "Incidence"
"5" 1 3 1 1 3 72971 "Incidence"
"6" 2 3 1 1 6 69130 "Incidence"
"7" 1 4 1 1 3 79461 "Incidence"
"8" 2 4 1 1 4 75876 "Incidence"
"9" 1 5 1 1 2 79058 "Incidence"
"10" 2 5 1 1 2 76463 "Incidence"
"11" 1 6 1 1 4 76314 "Incidence"
"12" 2 6 1 1 4 75298 "Incidence"
"13" 1 7 1 1 3 69025 "Incidence"
"14" 2 7 1 1 3 70277 "Incidence"
"15" 1 8 1 1 5 62246 "Incidence"
"16" 2 8 1 1 3 63204 "Incidence"
"17" 1 9 1 1 3 59227 "Incidence"
"18" 2 9 1 1 5 60654 "Incidence"
"19" 1 10 1 1 6 53076 "Incidence"
"20" 2 10 1 1 3 55745 "Incidence"
"21" 1 11 1 1 6 51909 "Incidence"
"22" 2 11 1 1 4 54951 "Incidence"
"23" 1 12 1 1 10 57414 "Incidence"
"24" 2 12 1 1 8 59266 "Incidence"
"25" 1 13 1 1 5 49221 "Incidence"
"26" 2 13 1 1 11 52499 "Incidence"
"27" 1 14 1 1 8 34340 "Incidence"
"28" 2 14 1 1 5 41926 "Incidence"
"29" 1 15 1 1 7 21537 "Incidence"
"30" 2 15 1 1 8 31650 "Incidence"
"31" 1 16 1 1 5 14680 "Incidence"
"32" 2 16 1 1 10 25936 "Incidence"
"33" 1 17 1 1 4 8395 "Incidence"
"34" 2 17 1 1 6 18048 "Incidence"
"35" 1 18 1 1 2 4653 "Incidence"
"36" 2 18 1 1 3 13011 "Incidence"
"37" 1 1 2 1 4 36418 "Incidence"
"38" 2 1 2 1 6 34136 "Incidence"
"39" 1 2 2 1 2 47285 "Incidence"
"40" 2 2 2 1 3 44916 "Incidence"
"41" 1 3 2 1 6 67406 "Incidence"
"42" 2 3 2 1 2 63802 "Incidence"
"43" 1 4 2 1 3 77991 "Incidence"
"44" 2 4 2 1 3 74329 "Incidence"
"45" 1 5 2 1 3 77733 "Incidence"
"46" 2 5 2 1 5 74836 "Incidence"
"47" 1 6 2 1 7 76652 "Incidence"
"48" 2 6 2 1 4 74943 "Incidence"
"49" 1 7 2 1 9 71225 "Incidence"
"50" 2 7 2 1 3 72371 "Incidence"
"51" 1 8 2 1 6 62565 "Incidence"
"52" 2 8 2 1 4 63907 "Incidence"
"53" 1 9 2 1 4 60219 "Incidence"
"54" 2 9 2 1 4 61677 "Incidence"
"55" 1 10 2 1 4 54765 "Incidence"
"56" 2 10 2 1 2 57349 "Incidence"
"57" 1 11 2 1 9 48180 "Incidence"
"58" 2 11 2 1 6 52048 "Incidence"
"59" 1 12 2 1 11 56350 "Incidence"
"60" 2 12 2 1 8 58917 "Incidence"
"61" 1 13 2 1 10 51809 "Incidence"
"62" 2 13 2 1 10 54907 "Incidence"
"63" 1 14 2 1 13 38334 "Incidence"
"64" 2 14 2 1 11 45614 "Incidence"
"65" 1 15 2 1 7 23169 "Incidence"
"66" 2 15 2 1 7 33288 "Incidence"
"67" 1 16 2 1 6 15444 "Incidence"
"68" 2 16 2 1 5 26874 "Incidence"
"69" 1 17 2 1 2 8863 "Incidence"
"70" 2 17 2 1 4 19286 "Incidence"
"71" 1 18 2 1 3 5199 "Incidence"
"72" 2 18 2 1 3 14637 "Incidence"
"73" 1 1 3 1 6 34372 "Incidence"
"74" 2 1 3 1 3 32427 "Incidence"
"75" 1 2 3 1 3 42366 "Incidence"
"76" 2 2 3 1 3 40170 "Incidence"
"77" 1 3 3 1 4 58648 "Incidence"
"78" 2 3 3 1 3 55722 "Incidence"
"79" 1 4 3 1 3 73722 "Incidence"
"80" 2 4 3 1 3 70308 "Incidence"
"81" 1 5 3 1 4 77518 "Incidence"
"82" 2 5 3 1 3 74785 "Incidence"
"83" 1 6 3 1 6 75735 "Incidence"
"84" 2 6 3 1 6 73385 "Incidence"
"85" 1 7 3 1 8 72014 "Incidence"
"86" 2 7 3 1 5 72457 "Incidence"
"87" 1 8 3 1 3 65326 "Incidence"
"88" 2 8 3 1 2 67219 "Incidence"
"89" 1 9 3 1 5 60220 "Incidence"
"90" 2 9 3 1 5 62133 "Incidence"
"91" 1 10 3 1 8 56484 "Incidence"
"92" 2 10 3 1 3 58856 "Incidence"
"93" 1 11 3 1 5 50141 "Incidence"
"94" 2 11 3 1 3 53811 "Incidence"
"95" 1 12 3 1 12 51459 "Incidence"
"96" 2 12 3 1 9 54661 "Incidence"
"97" 1 13 3 1 11 52184 "Incidence"
"98" 2 13 3 1 4 56055 "Incidence"
