"sex" "age" "period" "region" "outcome" "cases" "pop"
"1" 1 1 1 1 "Incidence" 26 534845
"2" 2 1 1 1 "Incidence" 30 520849
"3" 1 2 1 1 "Incidence" 9 112303
"4" 2 2 1 1 "Incidence" 8 116399
"5" 1 3 1 1 "Incidence" 16 109323
"6" 2 3 1 1 "Incidence" 12 114217
"7" 1 4 1 1 "Incidence" 13 83561
"8" 2 4 1 1 "Incidence" 16 94425
"9" 1 5 1 1 "Incidence" 12 36217
"10" 2 5 1 1 "Incidence" 18 57586
"11" 1 6 1 1 "Incidence" 6 13048
"12" 2 6 1 1 "Incidence" 9 31059
"13" 1 1 2 1 "Incidence" 40 517275
"14" 2 1 2 1 "Incidence" 30 503240
"15" 1 2 2 1 "Incidence" 8 114984
"16" 2 2 2 1 "Incidence" 6 119026
"17" 1 3 2 1 "Incidence" 20 104530
"18" 2 3 2 1 "Incidence" 14 110965
"19" 1 4 2 1 "Incidence" 23 90143
"20" 2 4 2 1 "Incidence" 21 100521
"21" 1 5 2 1 "Incidence" 13 38613
"22" 2 5 2 1 "Incidence" 12 60162
"23" 1 6 2 1 "Incidence" 5 14062
"24" 2 6 2 1 "Incidence" 7 33923
"25" 1 1 3 1 "Incidence" 37 499701
"26" 2 1 3 1 "Incidence" 28 486473
"27" 1 2 3 1 "Incidence" 13 116704
"28" 2 2 3 1 "Incidence" 8 120989
"29" 1 3 3 1 "Incidence" 17 101600
"30" 2 3 3 1 "Incidence" 12 108472
"31" 1 4 3 1 "Incidence" 26 93849
"32" 2 4 3 1 "Incidence" 13 104618
"33" 1 5 3 1 "Incidence" 15 43529
"34" 2 5 3 1 "Incidence" 17 65339
"35" 1 6 3 1 "Incidence" 8 15240
"36" 2 6 3 1 "Incidence" 11 36931
"37" 1 1 4 1 "Incidence" 38 482127
"38" 2 1 4 1 "Incidence" 23 469706
"39" 1 2 4 1 "Incidence" 16 118424
"40" 2 2 4 1 "Incidence" 10 122952
"41" 1 3 4 1 "Incidence" 15 98670
"42" 2 3 4 1 "Incidence" 15 105979
"43" 1 4 4 1 "Incidence" 24 97555
"44" 2 4 4 1 "Incidence" 22 108715
"45" 1 5 4 1 "Incidence" 19 48445
"46" 2 5 4 1 "Incidence" 29 70516
"47" 1 6 4 1 "Incidence" 8 16418
"48" 2 6 4 1 "Incidence" 11 39939
"121" 1 1 1 2 "Incidence" 16 62637
"122" 2 1 1 2 "Incidence" 18 59668
"123" 1 2 1 2 "Incidence" 6 13605
"124" 2 2 1 2 "Incidence" 4 12777
"125" 1 3 1 2 "Incidence" 8 12739
"126" 2 3 1 2 "Incidence" 6 12065
"127" 1 4 1 2 "Incidence" 6 10907
"128" 2 4 1 2 "Incidence" 5 11866
"129" 1 5 1 2 "Incidence" 5 5989
"130" 2 5 1 2 "Incidence" 4 8229
"131" 1 6 1 2 "Incidence" 4 1998
"132" 2 6 1 2 "Incidence" 4 4370
"133" 1 1 2 2 "Incidence" 19 61578
"134" 2 1 2 2 "Incidence" 18 58882
"135" 1 2 2 2 "Incidence" 4 14274
"136" 2 2 2 2 "Incidence" 5 13431
"137" 1 3 2 2 "Incidence" 8 12252
"138" 2 3 2 2 "Incidence" 6 11767
"139" 1 4 2 2 "Incidence" 7 11523
"140" 2 4 2 2 "Incidence" 5 12245
"141" 1 5 2 2 "Incidence" 6 6321
"142" 2 5 2 2 "Incidence" 6 8601
"143" 1 6 2 2 "Incidence" 4 2163
"144" 2 6 2 2 "Incidence" 4 4760
"145" 1 1 3 2 "Incidence" 19 60622
"146" 2 1 3 2 "Incidence" 19 58352
"147" 1 2 3 2 "Incidence" 8 14981
"148" 2 2 3 2 "Incidence" 5 13996
"149" 1 3 3 2 "Incidence" 4 12192
"150" 2 3 3 2 "Incidence" 5 11678
"151" 1 4 3 2 "Incidence" 8 11938
"152" 2 4 3 2 "Incidence" 4 12389
"153" 1 5 3 2 "Incidence" 8 6755
"154" 2 5 3 2 "Incidence" 8 9181
"155" 1 6 3 2 "Incidence" 4 2360
"156" 2 6 3 2 "Incidence" 4 5128
"157" 1 1 4 2 "Incidence" 18 59666
"158" 2 1 4 2 "Incidence" 19 57822
"159" 1 2 4 2 "Incidence" 6 15688
"160" 2 2 4 2 "Incidence" 5 14561
"161" 1 3 4 2 "Incidence" 5 12132
"162" 2 3 4 2 "Incidence" 4 11589
"163" 1 4 4 2 "Incidence" 6 12353
"164" 2 4 4 2 "Incidence" 8 12533
"165" 1 5 4 2 "Incidence" 8 7189
"166" 2 5 4 2 "Incidence" 8 9761
"167" 1 6 4 2 "Incidence" 5 2557
"168" 2 6 4 2 "Incidence" 4 5496
"241" 1 1 1 3 "Incidence" 17 82810
"242" 2 1 1 3 "Incidence" 23 78847
"243" 1 2 1 3 "Incidence" 5 18148
"244" 2 2 1 3 "Incidence" 4 16758
"245" 1 3 1 3 "Incidence" 9 16795
"246" 2 3 1 3 "Incidence" 6 15682
"247" 1 4 1 3 "Incidence" 7 12802
"248" 2 4 1 3 "Incidence" 7 13320
"249" 1 5 1 3 "Incidence" 5 6210
"250" 2 5 1 3 "Incidence" 5 8645
"251" 1 6 1 3 "Incidence" 7 2158
"252" 2 6 1 3 "Incidence" 4 4536
"253" 1 1 2 3 "Incidence" 21 80155
"254" 2 1 2 3 "Incidence" 19 76574
"255" 1 2 2 3 "Incidence" 7 18724
"256" 2 2 2 3 "Incidence" 5 17298
"257" 1 3 2 3 "Incidence" 5 16312
"258" 2 3 2 3 "Incidence" 6 15357
"259" 1 4 2 3 "Incidence" 8 13659
"260" 2 4 2 3 "Incidence" 7 14010
"261" 1 5 2 3 "Incidence" 6 6575
"262" 2 5 2 3 "Incidence" 7 9017
"263" 1 6 2 3 "Incidence" 4 2375
"264" 2 6 2 3 "Incidence" 5 5010
"265" 1 1 3 3 "Incidence" 20 78092
"266" 2 1 3 3 "Incidence" 19 74678
"267" 1 2 3 3 "Incidence" 5 19126
"268" 2 2 3 3 "Incidence" 6 17797
"269" 1 3 3 3 "Incidence" 8 16091
"270" 2 3 3 3 "Incidence" 5 15209
"271" 1 4 3 3 "Incidence" 6 14300
"272" 2 4 3 3 "Incidence" 5 14489
"273" 1 5 3 3 "Incidence" 9 7288
"274" 2 5 3 3 "Incidence" 6 9729
"275" 1 6 3 3 "Incidence" 5 2542
"276" 2 6 3 3 "Incidence" 4 5424
"277" 1 1 4 3 "Incidence" 20 76029
"278" 2 1 4 3 "Incidence" 17 72782
"279" 1 2 4 3 "Incidence" 4 19528
"280" 2 2 4 3 "Incidence" 5 18296
"281" 1 3 4 3 "Incidence" 6 15870
"282" 2 3 4 3 "Incidence" 5 15061
"283" 1 4 4 3 "Incidence" 6 14941
"284" 2 4 4 3 "Incidence" 6 14968
"285" 1 5 4 3 "Incidence" 7 8001
"286" 2 5 4 3 "Incidence" 5 10441
"287" 1 6 4 3 "Incidence" 4 2709
"288" 2 6 4 3 "Incidence" 5 5838
"361" 1 1 1 4 "Incidence" 19 112658
"362" 2 1 1 4 "Incidence" 20 105807
"363" 1 2 1 4 "Incidence" 5 25340
"364" 2 2 1 4 "Incidence" 6 23173
"365" 1 3 1 4 "Incidence" 8 22502
"366" 2 3 1 4 "Incidence" 5 21756
"367" 1 4 1 4 "Incidence" 7 17819
"368" 2 4 1 4 "Incidence" 8 18880
"369" 1 5 1 4 "Incidence" 5 8607
"370" 2 5 1 4 "Incidence" 6 12526
"371" 1 6 1 4 "Incidence" 4 3029
"372" 2 6 1 4 "Incidence" 4 6201
"373" 1 1 2 4 "Incidence" 17 108908
"374" 2 1 2 4 "Incidence" 16 102483
"375" 1 2 2 4 "Incidence" 12 26401
"376" 2 2 2 4 "Incidence" 4 24066
"377" 1 3 2 4 "Incidence" 5 21810
"378" 2 3 2 4 "Incidence" 6 21002
"379" 1 4 2 4 "Incidence" 10 18881
"380" 2 4 2 4 "Incidence" 5 19828
"381" 1 5 2 4 "Incidence" 6 9072
"382" 2 5 2 4 "Incidence" 8 12972
"383" 1 6 2 4 "Incidence" 5 3376
"384" 2 6 2 4 "Incidence" 6 6897
"385" 1 1 3 4 "Incidence" 20 105203
"386" 2 1 3 4 "Incidence" 20 99075
"387" 1 2 3 4 "Incidence" 7 26744
"388" 2 2 3 4 "Incidence" 4 24433
"389" 1 3 3 4 "Incidence" 6 21621
"390" 2 3 3 4 "Incidence" 7 20668
"391" 1 4 3 4 "Incidence" 11 19441
"392" 2 4 3 4 "Incidence" 7 20464
"393" 1 5 3 4 "Incidence" 7 10058
"394" 2 5 3 4 "Incidence" 5 13770
"395" 1 6 3 4 "Incidence" 4 3665
"396" 2 6 3 4 "Incidence" 6 7657
"397" 1 1 4 4 "Incidence" 18 101498
"398" 2 1 4 4 "Incidence" 17 95667
"399" 1 2 4 4 "Incidence" 5 27087
"400" 2 2 4 4 "Incidence" 6 24800
"401" 1 3 4 4 "Incidence" 6 21432
"402" 2 3 4 4 "Incidence" 4 20334
"403" 1 4 4 4 "Incidence" 11 20001
"404" 2 4 4 4 "Incidence" 9 21100
"405" 1 5 4 4 "Incidence" 8 11044
"406" 2 5 4 4 "Incidence" 7 14568
"407" 1 6 4 4 "Incidence" 7 3954
"408" 2 6 4 4 "Incidence" 7 8417
"481" 1 1 1 5 "Incidence" 18 67749
"482" 2 1 1 5 "Incidence" 18 62814
"483" 1 2 1 5 "Incidence" 4 14811
"484" 2 2 1 5 "Incidence" 5 13664
"485" 1 3 1 5 "Incidence" 6 14171
"486" 2 3 1 5 "Incidence" 4 12911
"487" 1 4 1 5 "Incidence" 6 10516
"488" 2 4 1 5 "Incidence" 7 10852
"489" 1 5 1 5 "Incidence" 4 4858
"490" 2 5 1 5 "Incidence" 6 7186
"491" 1 6 1 5 "Incidence" 4 1901
"492" 2 6 1 5 "Incidence" 4 3734
"493" 1 1 2 5 "Incidence" 20 65061
"494" 2 1 2 5 "Incidence" 17 60449
"495" 1 2 2 5 "Incidence" 4 15284
"496" 2 2 2 5 "Incidence" 5 14024
"497" 1 3 2 5 "Incidence" 4 13675
"498" 2 3 2 5 "Incidence" 5 12528
"499" 1 4 2 5 "Incidence" 8 11312
"500" 2 4 2 5 "Incidence" 7 11448
"501" 1 5 2 5 "Incidence" 6 5125
"502" 2 5 2 5 "Incidence" 4 7445
"503" 1 6 2 5 "Incidence" 4 2074
"504" 2 6 2 5 "Incidence" 4 4122
"505" 1 1 3 5 "Incidence" 17 62739
"506" 2 1 3 5 "Incidence" 20 58392
"507" 1 2 3 5 "Incidence" 7 15614
"508" 2 2 3 5 "Incidence" 5 14212
"509" 1 3 3 5 "Incidence" 5 13253
"510" 2 3 3 5 "Incidence" 4 12338
"511" 1 4 3 5 "Incidence" 8 11830
"512" 2 4 3 5 "Incidence" 6 11839
"513" 1 5 3 5 "Incidence" 4 5688
"514" 2 5 3 5 "Incidence" 7 7818
"515" 1 6 3 5 "Incidence" 5 2183
"516" 2 6 3 5 "Incidence" 5 4504
"517" 1 1 4 5 "Incidence" 20 60417
"518" 2 1 4 5 "Incidence" 20 56335
"519" 1 2 4 5 "Incidence" 6 15944
"520" 2 2 4 5 "Incidence" 4 14400
"521" 1 3 4 5 "Incidence" 7 12831
"522" 2 3 4 5 "Incidence" 6 12148
"523" 1 4 4 5 "Incidence" 7 12348
"524" 2 4 4 5 "Incidence" 7 12230
"525" 1 5 4 5 "Incidence" 4 6251
"526" 2 5 4 5 "Incidence" 5 8191
"527" 1 6 4 5 "Incidence" 7 2292
"528" 2 6 4 5 "Incidence" 5 4886
"601" 1 1 1 6 "Incidence" 17 223117
"602" 2 1 1 6 "Incidence" 17 217634
"603" 1 2 1 6 "Incidence" 8 48882
"604" 2 2 1 6 "Incidence" 10 50500
"605" 1 3 1 6 "Incidence" 7 41550
"606" 2 3 1 6 "Incidence" 10 44144
"607" 1 4 1 6 "Incidence" 8 31187
"608" 2 4 1 6 "Incidence" 8 38005
"609" 1 5 1 6 "Incidence" 8 15527
"610" 2 5 1 6 "Incidence" 8 26438
"611" 1 6 1 6 "Incidence" 7 5732
"612" 2 6 1 6 "Incidence" 6 14392
"613" 1 1 2 6 "Incidence" 22 216712
"614" 2 1 2 6 "Incidence" 19 211008
"615" 1 2 2 6 "Incidence" 7 50558
"616" 2 2 2 6 "Incidence" 8 52474
"617" 1 3 2 6 "Incidence" 8 41300
"618" 2 3 2 6 "Incidence" 8 43707
"619" 1 4 2 6 "Incidence" 10 33278
"620" 2 4 2 6 "Incidence" 6 39812
"621" 1 5 2 6 "Incidence" 7 16332
"622" 2 5 2 6 "Incidence" 10 27351
"623" 1 6 2 6 "Incidence" 4 6313
"624" 2 6 2 6 "Incidence" 7 15810
"625" 1 1 3 6 "Incidence" 30 212706
"626" 2 1 3 6 "Incidence" 21 206666
"627" 1 2 3 6 "Incidence" 8 51622
"628" 2 2 3 6 "Incidence" 7 53655
"629" 1 3 3 6 "Incidence" 11 42135
"630" 2 3 3 6 "Incidence" 9 44474
"631" 1 4 3 6 "Incidence" 13 35080
"632" 2 4 3 6 "Incidence" 10 41474
"633" 1 5 3 6 "Incidence" 12 18104
"634" 2 5 3 6 "Incidence" 9 29282
"635" 1 6 3 6 "Incidence" 4 6911
"636" 2 6 3 6 "Incidence" 5 17378
"637" 1 1 4 6 "Incidence" 23 208700
"638" 2 1 4 6 "Incidence" 18 202324
"639" 1 2 4 6 "Incidence" 6 52686
"640" 2 2 4 6 "Incidence" 6 54836
"641" 1 3 4 6 "Incidence" 15 42970
"642" 2 3 4 6 "Incidence" 10 45241
"643" 1 4 4 6 "Incidence" 13 36882
"644" 2 4 4 6 "Incidence" 14 43136
"645" 1 5 4 6 "Incidence" 13 19876
"646" 2 5 4 6 "Incidence" 12 31213
"647" 1 6 4 6 "Incidence" 8 7509
"648" 2 6 4 6 "Incidence" 6 18946
"721" 1 1 1 7 "Incidence" 19 167574
"722" 2 1 1 7 "Incidence" 18 163326
"723" 1 2 1 7 "Incidence" 7 37767
"724" 2 2 1 7 "Incidence" 4 35448
"725" 1 3 1 7 "Incidence" 7 31619
"726" 2 3 1 7 "Incidence" 5 29258
"727" 1 4 1 7 "Incidence" 11 21956
"728" 2 4 1 7 "Incidence" 9 23854
"729" 1 5 1 7 "Incidence" 9 11273
"730" 2 5 1 7 "Incidence" 7 15877
"731" 1 6 1 7 "Incidence" 6 4410
"732" 2 6 1 7 "Incidence" 10 8426
"733" 1 1 2 7 "Incidence" 22 164767
"734" 2 1 2 7 "Incidence" 21 160918
"735" 1 2 2 7 "Incidence" 9 39288
"736" 2 2 2 7 "Incidence" 4 37391
"737" 1 3 2 7 "Incidence" 6 31843
"738" 2 3 2 7 "Incidence" 6 29393
"739" 1 4 2 7 "Incidence" 10 23787
"740" 2 4 2 7 "Incidence" 9 25305
"741" 1 5 2 7 "Incidence" 7 11871
"742" 2 5 2 7 "Incidence" 9 16658
"743" 1 6 2 7 "Incidence" 6 4922
"744" 2 6 2 7 "Incidence" 5 9385
"745" 1 1 3 7 "Incidence" 24 162288
"746" 2 1 3 7 "Incidence" 22 158577
"747" 1 2 3 7 "Incidence" 11 40390
"748" 2 2 3 7 "Incidence" 4 38855
"749" 1 3 3 7 "Incidence" 10 32632
"750" 2 3 3 7 "Incidence" 8 30211
"751" 1 4 3 7 "Incidence" 10 25722
"752" 2 4 3 7 "Incidence" 11 26680
"753" 1 5 3 7 "Incidence" 10 13174
"754" 2 5 3 7 "Incidence" 7 18082
"755" 1 6 3 7 "Incidence" 5 5443
"756" 2 6 3 7 "Incidence" 5 10585
"757" 1 1 4 7 "Incidence" 22 159814
"758" 2 1 4 7 "Incidence" 20 156239
"759" 1 2 4 7 "Incidence" 7 41496
"760" 2 2 4 7 "Incidence" 5 40321
"761" 1 3 4 7 "Incidence" 8 33421
"762" 2 3 4 7 "Incidence" 7 31031
"763" 1 4 4 7 "Incidence" 9 27659
"764" 2 4 4 7 "Incidence" 8 28057
"765" 1 5 4 7 "Incidence" 12 14481
"766" 2 5 4 7 "Incidence" 5 19506
"767" 1 6 4 7 "Incidence" 4 5969
"768" 2 6 4 7 "Incidence" 6 11786
"841" 1 1 1 8 "Incidence" 20 36603
"842" 2 1 1 8 "Incidence" 17 32938
"843" 1 2 1 8 "Incidence" 4 7988
"844" 2 2 1 8 "Incidence" 4 6958
"845" 1 3 1 8 "Incidence" 7 7628
"846" 2 3 1 8 "Incidence" 4 7513
"847" 1 4 1 8 "Incidence" 5 8294
"848" 2 4 1 8 "Incidence" 4 8624
"849" 1 5 1 8 "Incidence" 4 4893
"850" 2 5 1 8 "Incidence" 4 6614
"851" 1 6 1 8 "Incidence" 4 2250
"852" 2 6 1 8 "Incidence" 4 3638
"853" 1 1 2 8 "Incidence" 16 35578
"854" 2 1 2 8 "Incidence" 16 31952
"855" 1 2 2 8 "Incidence" 6 8303
"856" 2 2 2 8 "Incidence" 6 7175
"857" 1 3 2 8 "Incidence" 7 7243
"858" 2 3 2 8 "Incidence" 5 7031
"859" 1 4 2 8 "Incidence" 4 8502
"860" 2 4 2 8 "Incidence" 6 8766
"861" 1 5 2 8 "Incidence" 6 5044
"862" 2 5 2 8 "Incidence" 4 6695
"863" 1 6 2 8 "Incidence" 4 2360
"864" 2 6 2 8 "Incidence" 5 3930
"865" 1 1 3 8 "Incidence" 19 34447
"866" 2 1 3 8 "Incidence" 16 30944
"867" 1 2 3 8 "Incidence" 5 8604
