"sex" "age" "period" "region" "outcome" "cases" "pop"
"1" 1 1 1 1 "Deaths" 18 534845
"2" 2 1 1 1 "Deaths" 19 520849
"3" 1 2 1 1 "Deaths" 5 112303
"4" 2 2 1 1 "Deaths" 9 116399
"5" 1 3 1 1 "Deaths" 9 109323
"6" 2 3 1 1 "Deaths" 11 114217
"7" 1 4 1 1 "Deaths" 9 83561
"8" 2 4 1 1 "Deaths" 17 94425
"9" 1 5 1 1 "Deaths" 14 36217
"10" 2 5 1 1 "Deaths" 10 57586
"11" 1 6 1 1 "Deaths" 5 13048
"12" 2 6 1 1 "Deaths" 10 31059
"13" 1 1 2 1 "Deaths" 20 517275
"14" 2 1 2 1 "Deaths" 17 503240
"15" 1 2 2 1 "Deaths" 10 114984
"16" 2 2 2 1 "Deaths" 6 119026
"17" 1 3 2 1 "Deaths" 12 104530
"18" 2 3 2 1 "Deaths" 9 110965
"19" 1 4 2 1 "Deaths" 11 90143
"20" 2 4 2 1 "Deaths" 13 100521
"21" 1 5 2 1 "Deaths" 14 38613
"22" 2 5 2 1 "Deaths" 9 60162
"23" 1 6 2 1 "Deaths" 5 14062
"24" 2 6 2 1 "Deaths" 5 33923
"25" 1 1 3 1 "Deaths" 19 499701
"26" 2 1 3 1 "Deaths" 19 486473
"27" 1 2 3 1 "Deaths" 7 116704
"28" 2 2 3 1 "Deaths" 5 120989
"29" 1 3 3 1 "Deaths" 17 101600
"30" 2 3 3 1 "Deaths" 8 108472
"31" 1 4 3 1 "Deaths" 13 93849
"32" 2 4 3 1 "Deaths" 9 104618
"33" 1 5 3 1 "Deaths" 10 43529
"34" 2 5 3 1 "Deaths" 13 65339
"35" 1 6 3 1 "Deaths" 6 15240
"36" 2 6 3 1 "Deaths" 6 36931
"37" 1 1 4 1 "Deaths" 25 482127
"38" 2 1 4 1 "Deaths" 19 469706
"39" 1 2 4 1 "Deaths" 8 118424
"40" 2 2 4 1 "Deaths" 8 122952
"41" 1 3 4 1 "Deaths" 8 98670
"42" 2 3 4 1 "Deaths" 12 105979
"43" 1 4 4 1 "Deaths" 15 97555
"44" 2 4 4 1 "Deaths" 17 108715
"45" 1 5 4 1 "Deaths" 17 48445
"46" 2 5 4 1 "Deaths" 19 70516
"47" 1 6 4 1 "Deaths" 7 16418
"48" 2 6 4 1 "Deaths" 8 39939
"49" 1 1 5 1 "Deaths" 24 462801
"50" 2 1 5 1 "Deaths" 18 449618
"51" 1 2 5 1 "Deaths" 11 121136
"52" 2 2 5 1 "Deaths" 5 126224
