"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 38 38 "1995_1996" 8
"38" 2 1 4 1 "Incidence" NA 469706 35 23 "1995_1996" 8
"39" 1 2 4 1 "Incidence" NA 118424 12 16 "1995_1996" 8
"40" 2 2 4 1 "Incidence" NA 122952 12 10 "1995_1996" 8
"41" 1 3 4 1 "Incidence" NA 98670 14 15 "1995_1996" 8
"42" 2 3 4 1 "Incidence" NA 105979 14 15 "1995_1996" 8
"43" 1 4 4 1 "Incidence" NA 97555 18 24 "1995_1996" 8
"44" 2 4 4 1 "Incidence" NA 108715 19 22 "1995_1996" 8
"45" 1 5 4 1 "Incidence" NA 48445 13 19 "1995_1996" 8
"46" 2 5 4 1 "Incidence" NA 70516 18 29 "1995_1996" 8
"47" 1 6 4 1 "Incidence" NA 16418 6 8 "1995_1996" 8
"48" 2 6 4 1 "Incidence" NA 39939 14 11 "1995_1996" 8
"157" 1 1 4 2 "Incidence" NA 59666 17 18 "1995_1996" 8
"158" 2 1 4 2 "Incidence" NA 57822 18 19 "1995_1996" 8
"159" 1 2 4 2 "Incidence" NA 15688 6 6 "1995_1996" 8
"160" 2 2 4 2 "Incidence" NA 14561 6 5 "1995_1996" 8
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 8
"162" 2 3 4 2 "Incidence" NA 11589 7 4 "1995_1996" 8
"163" 1 4 4 2 "Incidence" NA 12353 8 6 "1995_1996" 8
"164" 2 4 4 2 "Incidence" NA 12533 9 8 "1995_1996" 8
"165" 1 5 4 2 "Incidence" NA 7189 7 8 "1995_1996" 8
"166" 2 5 4 2 "Incidence" NA 9761 10 8 "1995_1996" 8
"167" 1 6 4 2 "Incidence" NA 2557 4 5 "1995_1996" 8
"168" 2 6 4 2 "Incidence" NA 5496 8 4 "1995_1996" 8
"277" 1 1 4 3 "Incidence" NA 76029 19 20 "1995_1996" 8
"278" 2 1 4 3 "Incidence" NA 72782 20 17 "1995_1996" 8
"279" 1 2 4 3 "Incidence" NA 19528 6 4 "1995_1996" 8
"280" 2 2 4 3 "Incidence" NA 18296 7 5 "1995_1996" 8
"281" 1 3 4 3 "Incidence" NA 15870 7 6 "1995_1996" 8
"282" 2 3 4 3 "Incidence" NA 15061 8 5 "1995_1996" 8
"283" 1 4 4 3 "Incidence" NA 14941 9 6 "1995_1996" 8
"284" 2 4 4 3 "Incidence" NA 14968 10 6 "1995_1996" 8
"285" 1 5 4 3 "Incidence" NA 8001 7 7 "1995_1996" 8
"286" 2 5 4 3 "Incidence" NA 10441 10 5 "1995_1996" 8
"287" 1 6 4 3 "Incidence" NA 2709 4 4 "1995_1996" 8
"288" 2 6 4 3 "Incidence" NA 5838 8 5 "1995_1996" 8
"397" 1 1 4 4 "Incidence" NA 101498 19 18 "1995_1996" 8
"398" 2 1 4 4 "Incidence" NA 95667 19 17 "1995_1996" 8
"399" 1 2 4 4 "Incidence" NA 27087 7 5 "1995_1996" 8
"400" 2 2 4 4 "Incidence" NA 24800 7 6 "1995_1996" 8
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 8
"402" 2 3 4 4 "Incidence" NA 20334 8 4 "1995_1996" 8
"403" 1 4 4 4 "Incidence" NA 20001 9 11 "1995_1996" 8
"404" 2 4 4 4 "Incidence" NA 21100 10 9 "1995_1996" 8
"405" 1 5 4 4 "Incidence" NA 11044 7 8 "1995_1996" 8
"406" 2 5 4 4 "Incidence" NA 14568 10 7 "1995_1996" 8
"407" 1 6 4 4 "Incidence" NA 3954 4 7 "1995_1996" 8
"408" 2 6 4 4 "Incidence" NA 8417 8 7 "1995_1996" 8
"517" 1 1 4 5 "Incidence" NA 60417 16 20 "1995_1996" 8
"518" 2 1 4 5 "Incidence" NA 56335 17 20 "1995_1996" 8
"519" 1 2 4 5 "Incidence" NA 15944 6 6 "1995_1996" 8
"520" 2 2 4 5 "Incidence" NA 14400 6 4 "1995_1996" 8
"521" 1 3 4 5 "Incidence" NA 12831 6 7 "1995_1996" 8
"522" 2 3 4 5 "Incidence" NA 12148 7 6 "1995_1996" 8
"523" 1 4 4 5 "Incidence" NA 12348 8 7 "1995_1996" 8
"524" 2 4 4 5 "Incidence" NA 12230 9 7 "1995_1996" 8
"525" 1 5 4 5 "Incidence" NA 6251 6 4 "1995_1996" 8
"526" 2 5 4 5 "Incidence" NA 8191 9 5 "1995_1996" 8
"527" 1 6 4 5 "Incidence" NA 2292 3 7 "1995_1996" 8
"528" 2 6 4 5 "Incidence" NA 4886 7 5 "1995_1996" 8
"637" 1 1 4 6 "Incidence" NA 208700 25 23 "1995_1996" 8
"638" 2 1 4 6 "Incidence" NA 202324 23 18 "1995_1996" 8
"639" 1 2 4 6 "Incidence" NA 52686 8 6 "1995_1996" 8
"640" 2 2 4 6 "Incidence" NA 54836 8 6 "1995_1996" 8
"641" 1 3 4 6 "Incidence" NA 42970 9 15 "1995_1996" 8
"642" 2 3 4 6 "Incidence" NA 45241 10 10 "1995_1996" 8
"643" 1 4 4 6 "Incidence" NA 36882 10 13 "1995_1996" 8
"644" 2 4 4 6 "Incidence" NA 43136 12 14 "1995_1996" 8
"645" 1 5 4 6 "Incidence" NA 19876 8 13 "1995_1996" 8
"646" 2 5 4 6 "Incidence" NA 31213 12 12 "1995_1996" 8
"647" 1 6 4 6 "Incidence" NA 7509 5 8 "1995_1996" 8
"648" 2 6 4 6 "Incidence" NA 18946 10 6 "1995_1996" 8
"757" 1 1 4 7 "Incidence" NA 159814 25 22 "1995_1996" 8
"758" 2 1 4 7 "Incidence" NA 156239 25 20 "1995_1996" 8
"759" 1 2 4 7 "Incidence" NA 41496 8 7 "1995_1996" 8
"760" 2 2 4 7 "Incidence" NA 40321 8 5 "1995_1996" 8
"761" 1 3 4 7 "Incidence" NA 33421 9 8 "1995_1996" 8
"762" 2 3 4 7 "Incidence" NA 31031 9 7 "1995_1996" 8
"763" 1 4 4 7 "Incidence" NA 27659 10 9 "1995_1996" 8
"764" 2 4 4 7 "Incidence" NA 28057 11 8 "1995_1996" 8
"765" 1 5 4 7 "Incidence" NA 14481 8 12 "1995_1996" 8
"766" 2 5 4 7 "Incidence" NA 19506 11 5 "1995_1996" 8
"767" 1 6 4 7 "Incidence" NA 5969 5 4 "1995_1996" 8
"768" 2 6 4 7 "Incidence" NA 11786 9 6 "1995_1996" 8
"877" 1 1 4 8 "Incidence" NA 33316 13 18 "1995_1996" 8
"878" 2 1 4 8 "Incidence" NA 29936 14 16 "1995_1996" 8
"879" 1 2 4 8 "Incidence" NA 8905 5 7 "1995_1996" 8
"880" 2 2 4 8 "Incidence" NA 7663 5 4 "1995_1996" 8
"881" 1 3 4 8 "Incidence" NA 7303 5 8 "1995_1996" 8
"882" 2 3 4 8 "Incidence" NA 6631 6 5 "1995_1996" 8
"883" 1 4 4 8 "Incidence" NA 8212 8 5 "1995_1996" 8
"884" 2 4 4 8 "Incidence" NA 8448 9 4 "1995_1996" 8
"885" 1 5 4 8 "Incidence" NA 5942 8 6 "1995_1996" 8
"886" 2 5 4 8 "Incidence" NA 7201 11 6 "1995_1996" 8
"887" 1 6 4 8 "Incidence" NA 2494 5 4 "1995_1996" 8
"888" 2 6 4 8 "Incidence" NA 4586 10 4 "1995_1996" 8
"997" 1 1 4 9 "Incidence" NA 65946 15 18 "1995_1996" 8
"998" 2 1 4 9 "Incidence" NA 63046 15 17 "1995_1996" 8
"999" 1 2 4 9 "Incidence" NA 16022 5 6 "1995_1996" 8
"1000" 2 2 4 9 "Incidence" NA 14515 5 6 "1995_1996" 8
"1001" 1 3 4 9 "Incidence" NA 13250 6 4 "1995_1996" 8
"1002" 2 3 4 9 "Incidence" NA 12745 6 4 "1995_1996" 8
"1003" 1 4 4 9 "Incidence" NA 14544 8 8 "1995_1996" 8
"1004" 2 4 4 9 "Incidence" NA 15542 9 5 "1995_1996" 8
"1005" 1 5 4 9 "Incidence" NA 10482 8 8 "1995_1996" 8
"1006" 2 5 4 9 "Incidence" NA 13348 11 4 "1995_1996" 8
"1007" 1 6 4 9 "Incidence" NA 3911 4 4 "1995_1996" 8
"1008" 2 6 4 9 "Incidence" NA 7416 9 5 "1995_1996" 8
"1117" 1 1 4 10 "Incidence" NA 36985 14 17 "1995_1996" 8
"1118" 2 1 4 10 "Incidence" NA 32803 15 18 "1995_1996" 8
"1119" 1 2 4 10 "Incidence" NA 10018 5 4 "1995_1996" 8
"1120" 2 2 4 10 "Incidence" NA 7764 5 5 "1995_1996" 8
"1121" 1 3 4 10 "Incidence" NA 7831 6 6 "1995_1996" 8
"1122" 2 3 4 10 "Incidence" NA 6566 6 5 "1995_1996" 8
"1123" 1 4 4 10 "Incidence" NA 8532 8 6 "1995_1996" 8
"1124" 2 4 4 10 "Incidence" NA 7619 9 6 "1995_1996" 8
"1125" 1 5 4 10 "Incidence" NA 5484 7 5 "1995_1996" 8
"1126" 2 5 4 10 "Incidence" NA 6392 10 7 "1995_1996" 8
"1127" 1 6 4 10 "Incidence" NA 2341 4 4 "1995_1996" 8
"1128" 2 6 4 10 "Incidence" NA 4062 9 5 "1995_1996" 8
"1237" 1 1 4 11 "Incidence" NA 148673 26 20 "1995_1996" 8
"1238" 2 1 4 11 "Incidence" NA 144564 25 18 "1995_1996" 8
"1239" 1 2 4 11 "Incidence" NA 35209 8 6 "1995_1996" 8
"1240" 2 2 4 11 "Incidence" NA 37950 9 6 "1995_1996" 8
"1241" 1 3 4 11 "Incidence" NA 28158 9 9 "1995_1996" 8
"1242" 2 3 4 11 "Incidence" NA 29315 9 7 "1995_1996" 8
"1243" 1 4 4 11 "Incidence" NA 22727 10 8 "1995_1996" 8
"1244" 2 4 4 11 "Incidence" NA 25821 11 14 "1995_1996" 8
"1245" 1 5 4 11 "Incidence" NA 13357 8 11 "1995_1996" 8
"1246" 2 5 4 11 "Incidence" NA 19549 12 11 "1995_1996" 8
"1247" 1 6 4 11 "Incidence" NA 5757 5 7 "1995_1996" 8
